Point,Lat,Long
269,40.840228,-72.109607
270,40.840228,-72.032224
271,40.840228,-71.954842
272,40.840228,-71.877459
273,40.840228,-71.800076
274,40.840228,-71.722694
275,40.903401,-73.579878
276,40.903401,-73.502496
277,40.903401,-73.425113
278,40.903401,-73.347730
279,40.903401,-73.270348
280,40.903401,-73.192965
281,40.903401,-73.115582
282,40.903401,-73.038199
283,40.903401,-72.960817
284,40.903401,-72.883434
285,40.903401,-72.806051
286,40.903401,-72.728669
287,40.903401,-72.651286
288,40.903401,-72.573903
289,40.903401,-72.496521
290,40.903401,-72.419138
291,40.903401,-72.341755
292,40.903401,-72.264372
293,40.903401,-72.186990
294,40.903401,-72.109607
295,40.903401,-72.032224
296,40.903401,-71.954842
297,40.903401,-71.877459
298,40.903401,-71.800076
299,40.903401,-71.722694
300,40.966575,-73.579878
301,40.966575,-73.502496
302,40.966575,-73.425113
303,40.966575,-73.347730
304,40.966575,-73.270348
305,40.966575,-73.192965
306,40.966575,-73.115582
307,40.966575,-73.038199
308,40.966575,-72.960817
309,40.966575,-72.883434
310,40.966575,-72.806051
311,40.966575,-72.728669
312,40.966575,-72.651286
313,40.966575,-72.573903
314,40.966575,-72.496521
315,40.966575,-72.419138
316,40.966575,-72.341755
317,40.966575,-72.264372
318,40.966575,-72.186990
319,40.966575,-72.109607
320,40.966575,-72.032224
321,40.966575,-71.954842
322,40.966575,-71.877459
323,40.966575,-71.800076
324,40.966575,-71.722694
325,41.029748,-73.579878
326,41.029748,-73.502496
327,41.029748,-73.425113
328,41.029748,-73.347730
329,41.029748,-73.270348
330,41.029748,-73.192965
331,41.029748,-73.115582
332,41.029748,-73.038199
333,41.029748,-72.960817
334,41.029748,-72.883434
335,41.029748,-72.806051
336,41.029748,-72.728669
337,41.029748,-72.651286
338,41.029748,-72.573903
339,41.029748,-72.496521
340,41.029748,-72.419138
341,41.029748,-72.341755
342,41.029748,-72.264372
343,41.029748,-72.186990
344,41.029748,-72.109607
345,41.029748,-72.032224
346,41.029748,-71.954842
347,41.029748,-71.877459
348,41.029748,-71.800076
349,41.029748,-71.722694
350,41.092921,-73.579878
351,41.092921,-73.502496
352,41.092921,-73.425113
353,41.092921,-73.347730
354,41.092921,-73.270348
355,41.092921,-73.192965
356,41.092921,-73.115582
357,41.092921,-73.038199
358,41.092921,-72.960817
359,41.092921,-72.883434
360,41.092921,-72.806051
361,41.092921,-72.728669
362,41.092921,-72.651286
363,41.092921,-72.573903
364,41.092921,-72.496521
365,41.092921,-72.419138
366,41.092921,-72.341755
367,41.092921,-72.264372
368,41.092921,-72.186990
369,41.092921,-72.109607
370,41.092921,-72.032224
371,41.092921,-71.954842
372,41.092921,-71.877459
373,41.092921,-71.800076
374,41.092921,-71.722694
375,41.156095,-73.579878
376,41.156095,-73.502496
377,41.156095,-73.425113
378,41.156095,-73.347730
379,41.156095,-73.270348
380,41.156095,-73.192965
381,41.156095,-73.115582
382,41.156095,-73.038199
383,41.156095,-72.960817
384,41.156095,-72.883434
385,41.156095,-72.806051
386,41.156095,-72.728669
387,41.156095,-72.651286
388,41.156095,-72.573903
389,41.156095,-72.496521
390,41.156095,-72.419138
391,41.156095,-72.341755
392,41.156095,-72.264372
393,41.156095,-72.186990
394,41.156095,-72.109607
395,41.156095,-72.032224
396,41.156095,-71.954842
397,41.156095,-71.877459
398,41.156095,-71.800076
399,41.156095,-71.722694
400,41.219268,-73.579878
401,41.219268,-73.502496
402,41.219268,-73.425113
403,41.219268,-73.347730
404,41.219268,-73.270348
405,41.219268,-73.192965
406,41.219268,-73.115582
407,41.219268,-73.038199
408,41.219268,-72.960817
409,41.219268,-72.883434
410,41.219268,-72.806051
411,41.219268,-72.728669
412,41.219268,-72.651286
413,41.219268,-72.573903
414,41.219268,-72.496521
415,41.219268,-72.419138
416,41.219268,-72.341755
417,41.219268,-72.264372
418,41.219268,-72.186990
419,41.219268,-72.109607
420,41.219268,-72.032224
421,41.219268,-71.954842
422,41.219268,-71.877459
423,41.219268,-71.800076
424,41.219268,-71.722694
425,41.282441,-73.579878
426,41.282441,-73.502496
427,41.282441,-73.425113
428,41.282441,-73.347730
429,41.282441,-73.270348
430,41.282441,-73.192965
431,41.282441,-73.115582
432,41.282441,-73.038199
433,41.282441,-72.960817
434,41.282441,-72.883434
435,41.282441,-72.806051
436,41.282441,-72.728669
437,41.282441,-72.651286
438,41.282441,-72.573903
439,41.282441,-72.496521
440,41.282441,-72.419138
441,41.282441,-72.341755
442,41.282441,-72.264372
443,41.282441,-72.186990
444,41.282441,-72.109607
445,41.282441,-72.032224
446,41.282441,-71.954842
447,41.282441,-71.877459
448,41.282441,-71.800076
449,41.282441,-71.722694
450,41.345614,-73.579878
451,41.345614,-73.502496
452,41.345614,-73.425113
453,41.345614,-73.347730
454,41.345614,-73.270348
455,41.345614,-73.192965
456,41.345614,-73.115582
457,41.345614,-73.038199
458,41.345614,-72.960817
459,41.345614,-72.883434
460,41.345614,-72.806051
461,41.345614,-72.728669
462,41.345614,-72.651286
463,41.345614,-72.573903
464,41.345614,-72.496521
465,41.345614,-72.419138
466,41.345614,-72.341755
467,41.345614,-72.264372
468,41.345614,-72.186990
469,41.345614,-72.109607
470,41.345614,-72.032224
471,41.345614,-71.954842
472,41.345614,-71.877459
473,41.345614,-71.800076
474,41.345614,-71.722694
475,41.408788,-73.579878
476,41.408788,-73.502496
477,41.408788,-73.425113
478,41.408788,-73.347730
479,41.408788,-73.270348
480,41.408788,-73.192965
481,41.408788,-73.115582
482,41.408788,-73.038199
483,41.408788,-72.960817
484,41.408788,-72.883434
485,41.408788,-72.806051
486,41.408788,-72.728669
487,41.408788,-72.651286
488,41.408788,-72.573903
489,41.408788,-72.496521
490,41.408788,-72.419138
491,41.408788,-72.341755
492,41.408788,-72.264372
493,41.408788,-72.186990
494,41.408788,-72.109607
495,41.408788,-72.032224
496,41.408788,-71.954842
497,41.408788,-71.877459
498,41.408788,-71.800076
499,41.408788,-71.722694
500,41.471961,-73.579878
501,41.471961,-73.502496
502,41.471961,-73.425113
503,41.471961,-73.347730
504,41.471961,-73.270348
505,41.471961,-73.192965
506,41.471961,-73.115582
507,41.471961,-73.038199
508,41.471961,-72.960817
509,41.471961,-72.883434
510,41.471961,-72.806051
511,41.471961,-72.728669
512,41.471961,-72.651286
513,41.471961,-72.573903
514,41.471961,-72.496521
515,41.471961,-72.419138
516,41.471961,-72.341755
517,41.471961,-72.264372
518,41.471961,-72.186990
519,41.471961,-72.109607
520,41.471961,-72.032224
521,41.471961,-71.954842
522,41.471961,-71.877459
523,41.471961,-71.800076
524,41.471961,-71.722694
525,41.535134,-73.579878
526,41.535134,-73.502496
527,41.535134,-73.425113
528,41.535134,-73.347730
529,41.535134,-73.270348
530,41.535134,-73.192965
531,41.535134,-73.115582
532,41.535134,-73.038199
533,41.535134,-72.960817
534,41.535134,-72.883434
535,41.535134,-72.806051
536,41.535134,-72.728669
537,41.535134,-72.651286
538,41.535134,-72.573903
539,41.535134,-72.496521
540,41.535134,-72.419138
541,41.535134,-72.341755
542,41.535134,-72.264372
543,41.535134,-72.186990
544,41.535134,-72.109607
545,41.535134,-72.032224
546,41.535134,-71.954842
547,41.535134,-71.877459
548,41.535134,-71.800076
549,41.535134,-71.722694
550,41.598308,-73.579878
551,41.598308,-73.502496
552,41.598308,-73.425113
553,41.598308,-73.347730
554,41.598308,-73.270348
555,41.598308,-73.192965
556,41.598308,-73.115582
557,41.598308,-73.038199
558,41.598308,-72.960817
559,41.598308,-72.883434
560,41.598308,-72.806051
561,41.598308,-72.728669
562,41.598308,-72.651286
563,41.598308,-72.573903
564,41.598308,-72.496521
565,41.598308,-72.419138
566,41.598308,-72.341755
567,41.598308,-72.264372
568,41.598308,-72.186990
569,41.598308,-72.109607
570,41.598308,-72.032224
571,41.598308,-71.954842
572,41.598308,-71.877459
573,41.598308,-71.800076
574,41.598308,-71.722694
575,41.661481,-73.579878
576,41.661481,-73.502496
577,41.661481,-73.425113
578,41.661481,-73.347730
579,41.661481,-73.270348
580,41.661481,-73.192965
581,41.661481,-73.115582
582,41.661481,-73.038199
583,41.661481,-72.960817
584,41.661481,-72.883434
585,41.661481,-72.806051
586,41.661481,-72.728669
587,41.661481,-72.651286
588,41.661481,-72.573903
589,41.661481,-72.496521
590,41.661481,-72.419138
591,41.661481,-72.341755
592,41.661481,-72.264372
593,41.661481,-72.186990
594,41.661481,-72.109607
595,41.661481,-72.032224
596,41.661481,-71.954842
597,41.661481,-71.877459
598,41.661481,-71.800076
599,41.661481,-71.722694
600,41.724654,-73.579878
601,41.724654,-73.502496
602,41.724654,-73.425113
603,41.724654,-73.347730
604,41.724654,-73.270348
605,41.724654,-73.192965
606,41.724654,-73.115582
607,41.724654,-73.038199
608,41.724654,-72.960817
609,41.724654,-72.883434
610,41.724654,-72.806051
611,41.724654,-72.728669
612,41.724654,-72.651286
613,41.724654,-72.573903
614,41.724654,-72.496521
615,41.724654,-72.419138
616,41.724654,-72.341755
617,41.724654,-72.264372
618,41.724654,-72.186990
619,41.724654,-72.109607
620,41.724654,-72.032224
621,41.724654,-71.954842
622,41.724654,-71.877459
623,41.724654,-71.800076
624,41.724654,-71.722694
